id_georef,nombre
06707,Saladillo
06455,Las Flores
06686,Rojas
06252,Escobar
06412,José C. Paz
06735,San Antonio de Areco
06511,Maipú
06560,Moreno
06427,La Matanza
06014,Adolfo Gonzales Chaves
06056,Bahía Blanca
06280,General Alvarado
06357,General Pueyrredón
06518,Mar Chiquita
06868,Villa Gesell
06644,Pinamar
06336,General Lavalle
06420,La Costa
06847,Tres Lomas
06042,Ayacucho
06399,Guaminí
06245,Ensenada
06448,Laprida
06756,San Isidro
06084,Benito Juárez
06175,Colón
06505,Magdalena
06861,Vicente López
06343,General Paz
06308,General Guido
06315,General Juan Madariaga
06791,Tandil
06203,Coronel Suárez
06672,Rauch
06721,Salliqueló
06091,Berazategui
06819,Tornquist
06196,Coronel Pringles
06351,General Pinto
06742,San Cayetano
06833,Tres Arroyos
06189,Coronel Dorrego
06581,Necochea
06466,Lezama
06218,Chascomús
06655,Punta Indio
06126,Campana
06007,Adolfo Alsina
06875,Villarino
06616,Pellegrini
06651,Puán
06392,General Villegas
06700,Saavedra
06553,Monte Hermoso
06476,Lobería
06098,Berisso
06812,Tordillo
06882,Zárate
06665,Ramallo
06763,San Nicolás
06778,San Vicente
06483,Lobos
06287,General Alvear
06658,Quilmes
06322,General La Madrid
06105,Bolívar
06798,Tapalqué
06112,Bragado
06623,Pergamino
06329,General Las Heras
06525,Marcos Paz
06270,Ezeiza
06168,Castelli
06028,Almirante Brown
06648,Presidente Perón
06119,Brandsen
06147,Carlos Casares
06154,Carlos Tejedor
06854,25 de Mayo
06588,9 de Julio
06609,Pehuajó
06826,Trenque Lauquen
06301,General Belgrano
06547,Monte
06693,Roque Pérez
06595,Olavarría
06539,Merlo
06260,Esteban Echeverría
06077,Arrecifes
06140,Capitán Sarmiento
06161,Carmen de Areco
06714,Salto
06266,Exaltación de la Cruz
06760,San Miguel
06728,San Andrés de Giles
06413,Junín
06532,Mercedes
06638,Pilar
06497,Luján
06408,Hurlingham
06568,Morón
06210,Chacabuco
06515,Malvinas Argentinas
06434,Lanús
06371,General San Martín
06469,Lincoln
06410,Ituzaingó
06364,General Rodríguez
06784,Suipacha
06840,Tres de Febrero
06224,Chivilcoy
06021,Alberti
06406,Hipólito Yrigoyen
06385,General Viamonte
06274,Florencio Varela
06574,Navarro
06134,Cañuelas
06063,Balcarce
06238,Dolores
06049,Azul
06231,Daireaux
06630,Pila
06749,San Fernando
06805,Tigre
06462,Leandro N. Alem
06294,General Arenales
06602,Patagones
06182,Coronel de Marina Leonardo Rosales
06070,Baradero
06770,San Pedro
06277,Florentino Ameghino
06490,Lomas de Zamora
06035,Avellaneda
06441,La Plata
06679,Rivadavia
